Step,Loss
0,2120.45068359375
1,1920.5665283203125
2,1804.4056396484375
3,1743.1832275390625
4,1689.67236328125
5,1655.7579345703125
6,1636.5380859375
7,1615.5205078125
8,1601.2562255859375
9,1595.8114013671875
10,1592.6259765625
11,1595.1663818359375
12,1601.193359375
13,1611.3175048828125
14,1616.0599365234375
15,1618.91748046875
16,1622.56396484375
17,1632.5625
18,1641.271240234375
19,1646.54931640625
20,1659.1318359375
21,1668.9544677734375
22,1673.213623046875
23,1683.926513671875
24,1685.438720703125
25,1693.6922607421875
