Step,Loss
0,2232.89794921875
1,2114.6669921875
2,2043.350830078125
3,1996.27685546875
4,1960.69970703125
5,1936.779052734375
6,1916.82763671875
7,1897.5677490234375
8,1882.8895263671875
9,1873.91552734375
10,1862.6907958984375
11,1857.811767578125
12,1851.13720703125
13,1839.62890625
14,1838.970947265625
15,1830.959716796875
16,1830.470947265625
17,1823.55615234375
18,1822.376220703125
19,1822.0037841796875
20,1819.25537109375
21,1817.57470703125
22,1813.8367919921875
23,1812.8380126953125
24,1811.3388671875
