Step,Loss
0,2164.013671875
1,2041.228515625
2,1982.0989990234375
3,1941.135498046875
4,1913.88037109375
5,1899.17626953125
6,1881.9761962890625
7,1876.6668701171875
8,1867.8756103515625
9,1863.3646240234375
10,1862.18505859375
11,1857.589599609375
12,1856.82763671875
13,1855.9454345703125
14,1857.8170166015625
15,1856.2991943359375
16,1862.0008544921875
17,1859.66650390625
18,1858.5653076171875
19,1861.642333984375
20,1861.6131591796875
21,1862.3865966796875
22,1863.940673828125
23,1865.976806640625
24,1864.568359375
25,1867.0023193359375
26,1868.633544921875
27,1868.830078125
28,1869.2269287109375
29,1869.437255859375
30,1869.908203125
31,1871.220947265625
32,1872.106689453125
33,1871.5269775390625
34,1871.5987548828125
35,1873.704345703125
