Step,Loss
0,2397.321044921875
1,2192.6982421875
2,2088.749755859375
3,2009.7540283203125
4,1954.28857421875
5,1915.281494140625
6,1893.265869140625
7,1863.9571533203125
8,1845.18505859375
9,1834.78564453125
10,1820.7098388671875
11,1814.64404296875
12,1806.94091796875
13,1802.0076904296875
14,1798.7208251953125
15,1794.4486083984375
16,1795.5950927734375
17,1794.13330078125
18,1791.15966796875
19,1791.5712890625
20,1795.5101318359375
21,1797.3487548828125
22,1796.261962890625
23,1799.4990234375
24,1800.4248046875
25,1800.9569091796875
26,1801.72509765625
27,1800.198974609375
28,1803.9425048828125
29,1803.3427734375
30,1806.14501953125
31,1804.6907958984375
32,1809.5308837890625
33,1808.248291015625
34,1808.6376953125
